gene	oe_lof_upper	oe_lof_upper_bin
RBBP6	8.0000e-02	0
GTPBP4	8.0000e-02	0
MYBL1	8.0000e-02	0
TEX11	8.0000e-02	0
DYNC1H1	8.0000e-02	0
SBNO1	8.1000e-02	0
THOC2	8.1000e-02	0
PRKCB	8.1000e-02	0
INO80	8.1000e-02	0
TAF4	8.1000e-02	0
FLNA	8.2000e-02	0
TRIM28	8.2000e-02	0
CHD8	8.2000e-02	0
RBM33	8.2000e-02	0
SNRNP200	8.2000e-02	0
XPO6	8.2000e-02	0
SMARCAD1	8.3000e-02	0
FRMPD4	8.3000e-02	0
MACF1	8.4000e-02	0
WAC	8.4000e-02	0
BRWD3	8.4000e-02	0
C17orf104	8.4000e-02	0
ATP2B1	8.4000e-02	0
EIF4G2	8.5000e-02	0
ZNF462	8.5000e-02	0
WDR26	8.5000e-02	0
CUL4B	8.5000e-02	0
TRIM33	8.6000e-02	0
STXBP1	8.6000e-02	0
TOPBP1	8.6000e-02	0
NF2	8.6000e-02	0
TET3	8.6000e-02	0
MN1	8.7000e-02	0
SUPT6H	8.7000e-02	0
RP11-762I7.5	8.7000e-02	0
NHS	8.7000e-02	0
RPS6KA3	8.7000e-02	0
MYT1L	8.7000e-02	0
UBP1	8.8000e-02	0
PLCL2	8.8000e-02	0
SPTBN1	8.8000e-02	0
MYH9	8.8000e-02	0
ZDHHC5	8.8000e-02	0
LUC7L3	8.9000e-02	0
COPB2	8.9000e-02	0
DNAJC14	8.9000e-02	0
RNF17	8.9000e-02	0
ANK3	8.9000e-02	0
F8	8.9000e-02	0
TM9SF3	9.0000e-02	0
DLG3	9.0000e-02	0
MGA	9.0000e-02	0
ANKRD52	9.0000e-02	0
STAG2	9.0000e-02	0
SATB2	9.1000e-02	0
USP34	9.1000e-02	0
MAP3K2	9.1000e-02	0
PREX1	9.1000e-02	0
MED14	9.2000e-02	0
CYFIP2	9.2000e-02	0
ZNF407	9.2000e-02	0
KPNB1	9.2000e-02	0
ETV5	9.2000e-02	0
CUL2	9.3000e-02	0
HNRNPM	9.3000e-02	0
PIAS1	9.4000e-02	0
DAAM2	9.4000e-02	0
EFTUD2	9.4000e-02	0
YTHDC1	9.4000e-02	0
NCBP1	9.4000e-02	0
TCF20	9.5000e-02	0
DLL1	9.5000e-02	0
UBR4	9.5000e-02	0
STAT3	9.5000e-02	0
IGF2BP3	9.5000e-02	0
NSD1	9.5000e-02	0
SRCAP	9.6000e-02	0
ZNF777	9.6000e-02	0
HNRNPK	9.6000e-02	0
SCAF8	9.6000e-02	0
ARID2	9.6000e-02	0
CCT3	9.7000e-02	0
COL5A2	9.7000e-02	0
PHC3	9.7000e-02	0
GATAD2B	9.7000e-02	0
FBXO11	9.7000e-02	0
NOTCH1	9.7000e-02	0
COL3A1	9.8000e-02	0
PPP3CB	9.8000e-02	0
ILF3	9.8000e-02	0
PLEKHA5	9.8000e-02	0
ZNF521	9.8000e-02	0
TAB2	9.8000e-02	0
CTNND2	9.8000e-02	0
DDX5	9.8000e-02	0
ACTN4	9.9000e-02	0
UPF2	9.9000e-02	0
CARM1	9.9000e-02	0
PAXIP1	9.9000e-02	0
BPTF	9.9000e-02	0
EP300	9.9000e-02	0
FBXL19	1.0000e-01	0
CREBRF	1.0000e-01	0
HDAC2	1.0000e-01	0
SP1	1.0000e-01	0
MAPK8IP2	1.0000e-01	0
AP2A1	1.0100e-01	0
ARCN1	1.0100e-01	0
SPTAN1	1.0100e-01	0
RPTOR	1.0100e-01	0
CAND1	1.0100e-01	0
COPS2	1.0100e-01	0
SALL4	1.0100e-01	0
CACNA1C	1.0200e-01	0
ARID1B	1.0200e-01	0
PSMD2	1.0200e-01	0
PSMD3	1.0200e-01	0
KMT2D	1.0300e-01	0
UBAP2L	1.0300e-01	0
ZNF148	1.0300e-01	0
BTK	1.0300e-01	0
RRM1	1.0300e-01	0
PPP2R5E	1.0300e-01	0
RFX3	1.0400e-01	0
BIRC6	1.0400e-01	0
LMNB2	1.0400e-01	0
CLTC	1.0400e-01	0
COPA	1.0500e-01	0
COL1A1	1.0500e-01	0
DHX15	1.0500e-01	0
DHX9	1.0500e-01	0
MAP2	1.0500e-01	0
ZMYM3	1.0600e-01	0
AGO2	1.0600e-01	0
ANK2	1.0600e-01	0
RALGAPB	1.0600e-01	0
IPO7	1.0600e-01	0
PRPF19	1.0600e-01	0
SCAF4	1.0600e-01	0
TBL1XR1	1.0600e-01	0
ZCCHC11	1.0700e-01	0
ZCCHC6	1.0700e-01	0
ANKRD11	1.0700e-01	0
PAFAH1B1	1.0700e-01	0
ZEB2	1.0700e-01	0
AP2A2	1.0800e-01	0
SMU1	1.0800e-01	0
NAA25	1.0800e-01	0
UBA1	1.0800e-01	0
BAZ1B	1.0900e-01	0
HNRNPH1	1.0900e-01	0
VPRBP	1.0900e-01	0
CTIF	1.0900e-01	0
ABCB7	1.0900e-01	0
UTP15	1.1000e-01	0
SETBP1	1.1000e-01	0
ARID5B	1.1000e-01	0
RBM10	1.1000e-01	0
TPR	1.1100e-01	0
RCOR1	1.1100e-01	0
SUFU	1.1100e-01	0
TRPS1	1.1100e-01	0
MTA1	1.1100e-01	0
RUVBL2	1.1100e-01	0
EIF4G3	1.1200e-01	0
MDM4	1.1200e-01	0
NTRK2	1.1200e-01	0
ANKHD1	1.1200e-01	0
ANKHD1-EIF4EBP3	1.1200e-01	0
RORB	1.1200e-01	0
TIAL1	1.1200e-01	0
NRXN3	1.1200e-01	0
PTPRD	1.1200e-01	0
WAPAL	1.1200e-01	0
RBM26	1.1200e-01	0
RIF1	1.1300e-01	0
NLK	1.1300e-01	0
PHIP	1.1300e-01	0
LPHN2	1.1300e-01	0
DPYSL5	1.1300e-01	0
USP8	1.1300e-01	0
TIPARP	1.1300e-01	0
ZBTB4	1.1300e-01	0
ISY1	1.1400e-01	0
HNRNPU	1.1400e-01	0
TLK2	1.1400e-01	0
TRERF1	1.1400e-01	0
DHX30	1.1500e-01	0
MYCBP2	1.1500e-01	0
FUBP1	1.1500e-01	0
TRIM24	1.1500e-01	0
ZC3H7A	1.1500e-01	0
UBXN7	1.1600e-01	0
SLC17A7	1.1600e-01	0
NOTCH2	1.1600e-01	0
SMARCC1	1.1600e-01	0
RAI1	1.1600e-01	0
CSE1L	1.1700e-01	0
EIF4A1	1.1700e-01	0
PIK3CA	1.1700e-01	0
KIF5C	1.1700e-01	0
REV3L	1.1700e-01	0
AGPS	1.1700e-01	0
ADAM10	1.1700e-01	0
MED1	1.1700e-01	0
SMARCC2	1.1700e-01	0
MYRF	1.1700e-01	0
DOT1L	1.1800e-01	0
CHAF1A	1.1800e-01	0
PSMD1	1.1800e-01	0
SRRM2	1.1800e-01	0
PIAS4	1.1800e-01	0
ACTR3	1.1800e-01	0
DDX3X	1.1800e-01	0
TSC1	1.1800e-01	0
SON	1.1800e-01	0
WHSC1	1.1900e-01	0
TCEB3	1.1900e-01	0
STAG1	1.1900e-01	0
ATRX	1.1900e-01	0
VCPIP1	1.1900e-01	0
EIF4A3	1.1900e-01	0
MAU2	1.1900e-01	0
PSMC2	1.1900e-01	0
DAZAP1	1.1900e-01	0
POGZ	1.1900e-01	0
PRKAR1A	1.1900e-01	0
SF3A3	1.1900e-01	0
FXR1	1.1900e-01	0
CDC42BPB	1.2000e-01	0
XPO7	1.2000e-01	0
RARB	1.2000e-01	0
RERE	1.2000e-01	0
ZMYND11	1.2000e-01	0
RPL4	1.2000e-01	0
SUPT16H	1.2000e-01	0
ZBTB47	1.2000e-01	0
PRRC2C	1.2100e-01	0
PPFIA3	1.2100e-01	0
ATP1A1	1.2100e-01	0
KIF11	1.2100e-01	0
NCOA2	1.2100e-01	0
HIPK1	1.2100e-01	0
KIAA0430	1.2100e-01	0
ARMCX4	1.2200e-01	0
KMT2C	1.2200e-01	0
PIK3AP1	1.2200e-01	0
SEMA4C	1.2200e-01	0
CYTH1	1.2200e-01	0
RBM17	1.2200e-01	0
RTF1	1.2200e-01	0
IPO5	1.2200e-01	0
NUP98	1.2200e-01	0
TRAF2	1.2300e-01	0
EIF4B	1.2300e-01	0
ADNP	1.2300e-01	0
RET	1.2300e-01	0
TEAD1	1.2300e-01	0
CCDC22	1.2300e-01	0
SHANK3	1.2300e-01	0
CACNA1E	1.2400e-01	0
PRMT5	1.2400e-01	0
JADE3	1.2400e-01	0
WDR5	1.2400e-01	0
CUL4A	1.2400e-01	0
PCLO	1.2400e-01	0
ZNF219	1.2400e-01	0
GAPVD1	1.2500e-01	0
EPC1	1.2500e-01	0
KCNB1	1.2500e-01	0
NLGN2	1.2600e-01	0
PCDH19	1.2600e-01	0
DDX17	1.2600e-01	0
RB1	1.2600e-01	0
WNK1	1.2600e-01	0
ZC3H18	1.2600e-01	0
CDK12	1.2600e-01	0
HECTD4	1.2700e-01	0
RALGPS1	1.2700e-01	0
TNRC6C	1.2700e-01	0
SCN2A	1.2700e-01	0
SOBP	1.2700e-01	0
VCP	1.2700e-01	0
TLN1	1.2800e-01	0
BTAF1	1.2800e-01	0
EPHA7	1.2800e-01	0
COL4A1	1.2800e-01	0
SIK3	1.2800e-01	0
KAT6B	1.2800e-01	0
KAT7	1.2800e-01	0
ZFR	1.2800e-01	0
GSE1	1.2800e-01	0
GSK3A	1.2800e-01	0
L1CAM	1.2900e-01	0
CTNNB1	1.2900e-01	0
PBRM1	1.2900e-01	0
PRICKLE1	1.2900e-01	0
PUM1	1.2900e-01	0
AHCTF1	1.2900e-01	0
TNPO2	1.2900e-01	0
AAK1	1.2900e-01	0
RASA1	1.2900e-01	0
CDC5L	1.2900e-01	0
FERMT2	1.3000e-01	0
WTAP	1.3000e-01	0
UBR3	1.3000e-01	0
SCN8A	1.3000e-01	0
FNIP2	1.3000e-01	0
MSN	1.3000e-01	0
PPP1R12A	1.3000e-01	0
RANBP9	1.3000e-01	0
USP47	1.3000e-01	0
CCDC88A	1.3000e-01	0
MLLT3	1.3100e-01	0
EIF3A	1.3100e-01	0
YTHDC2	1.3100e-01	0
KSR2	1.3100e-01	0
ZMYND8	1.3100e-01	0
CCNA2	1.3200e-01	0
PTPN6	1.3200e-01	0
SCML2	1.3200e-01	0
SNRK	1.3200e-01	0
MINK1	1.3200e-01	0
IRF6	1.3200e-01	0
ZRSR2	1.3200e-01	0
RFX7	1.3200e-01	0
CSTF2	1.3300e-01	0
NR4A2	1.3300e-01	0
TULP4	1.3300e-01	0
MAP1B	1.3300e-01	0
USP42	1.3300e-01	0
ZNF592	1.3300e-01	0
NPAS2	1.3300e-01	0
ZSWIM8	1.3300e-01	0
IQSEC2	1.3300e-01	0
U2AF2	1.3300e-01	0
ITPR1	1.3400e-01	0
COL2A1	1.3400e-01	0
NPLOC4	1.3400e-01	0
MAPKAPK2	1.3400e-01	0
DDX42	1.3400e-01	0
CACNA1A	1.3400e-01	0
SUZ12	1.3400e-01	0
PHF12	1.3500e-01	0
DACH1	1.3500e-01	0
PORCN	1.3500e-01	0
CTR9	1.3500e-01	0
RBM5	1.3500e-01	0
NRBP1	1.3500e-01	0
TBX5	1.3500e-01	0
FRMD4A	1.3500e-01	0
PTPN11	1.3500e-01	0
DLGAP3	1.3600e-01	0
HIRA	1.3600e-01	0
SETD1A	1.3600e-01	0
NAA35	1.3600e-01	0
ELMSAN1	1.3600e-01	0
CACTIN	1.3600e-01	0
ARHGEF6	1.3600e-01	0
FAM120C	1.3600e-01	0
RBM6	1.3600e-01	0
KIF1A	1.3600e-01	0
MECOM	1.3600e-01	0
MBD5	1.3600e-01	0
MEIS1	1.3600e-01	0
INTS6	1.3600e-01	0
ZFHX3	1.3600e-01	0
JPH4	1.3700e-01	0
SMARCA1	1.3700e-01	0
HEATR1	1.3700e-01	0
BAI3	1.3800e-01	0
SLC12A5	1.3800e-01	0
TAF3	1.3800e-01	0
SHOC2	1.3800e-01	0
PSMC1	1.3800e-01	0
RBM22	1.3800e-01	0
NFKB1	1.3800e-01	0
AFF4	1.3800e-01	0
RB1CC1	1.3800e-01	0
SAFB	1.3800e-01	0
TRAPPC8	1.3800e-01	0
ARID4A	1.3900e-01	0
TRIO	1.3900e-01	0
YTHDF2	1.3900e-01	0
PPFIA2	1.3900e-01	0
KDM6B	1.4000e-01	0
SPTB	1.4000e-01	0
SOS1	1.4000e-01	0
BAI1	1.4000e-01	0
AMBRA1	1.4000e-01	0
UBE2O	1.4000e-01	0
ZNF292	1.4000e-01	0
BCOR	1.4100e-01	0
HDAC5	1.4100e-01	0
PODXL2	1.4100e-01	0
AFTPH	1.4100e-01	0
RANBP3	1.4100e-01	0
SPAG9	1.4200e-01	0
FNBP4	1.4200e-01	0
AGPAT3	1.4200e-01	0
RANBP2	1.4200e-01	0
TKTL1	1.4200e-01	0
ZBTB44	1.4200e-01	0
WHSC1L1	1.4200e-01	0
CNOT4	1.4300e-01	0
JAG2	1.4300e-01	0
TFCP2L1	1.4300e-01	0
MAOA	1.4300e-01	0
SAMD4B	1.4300e-01	0
CSNK1E	1.4300e-01	0
DNMT1	1.4300e-01	0
PHEX	1.4300e-01	0
ATXN2L	1.4300e-01	0
XPO4	1.4300e-01	0
ARFGEF1	1.4300e-01	0
COPS5	1.4400e-01	0
SPOP	1.4400e-01	0
CSDE1	1.4400e-01	0
API5	1.4400e-01	0
CUL1	1.4400e-01	0
DDX46	1.4400e-01	0
ZFHX4	1.4400e-01	0
GNB1	1.4500e-01	0
HOMER1	1.4500e-01	0
ZFPM2	1.4500e-01	0
AEBP2	1.4500e-01	0
NUP85	1.4500e-01	0
CBLL1	1.4500e-01	0
RNF38	1.4500e-01	0
BAZ2A	1.4600e-01	0
JAG1	1.4600e-01	0
ASXL2	1.4600e-01	0
SP3	1.4600e-01	0
SRRM1	1.4600e-01	0
MAML1	1.4600e-01	0
CCNC	1.4600e-01	0
KIF23	1.4600e-01	0
EZH2	1.4600e-01	0
RFX4	1.4700e-01	0
XRCC5	1.4700e-01	0
USP24	1.4700e-01	0
CHD3	1.4700e-01	0
HNRNPA1	1.4700e-01	0
PPP1CB	1.4700e-01	0
FLT4	1.4700e-01	0
UNC79	1.4700e-01	0
ZNF217	1.4700e-01	0
EFHC2	1.4700e-01	0
WBP11	1.4800e-01	0
ITPKB	1.4800e-01	0
CTCF	1.4800e-01	0
ATP2B2	1.4800e-01	0
MAOB	1.4800e-01	0
KLHDC3	1.4800e-01	0
PRMT1	1.4800e-01	0
TGFB2	1.4800e-01	0
DIP2C	1.4900e-01	0
NFIX	1.4900e-01	0
FBXL17	1.4900e-01	0
WAS	1.4900e-01	0
GCM1	1.4900e-01	0
YBX2	1.5000e-01	0
TLE4	1.5000e-01	0
SLC6A1	1.5000e-01	0
EBF3	1.5000e-01	0
MAPK8IP3	1.5000e-01	0
AHSA1	1.5000e-01	0
PAN3	1.5000e-01	0
PKN2	1.5000e-01	0
ABCD1	1.5000e-01	0
SETD1B	1.5100e-01	0
CLCN4	1.5100e-01	0
ARHGEF9	1.5100e-01	0
B4GALT5	1.5100e-01	0
MSL1	1.5100e-01	0
SERPINC1	1.5100e-01	0
KALRN	1.5200e-01	0
CASZ1	1.5200e-01	0
MARCH6	1.5200e-01	0
SFPQ	1.5200e-01	0
BCORL1	1.5200e-01	0
CMIP	1.5200e-01	0
PPRC1	1.5200e-01	0
DDX26B	1.5200e-01	0
C11orf30	1.5300e-01	0
EFEMP1	1.5300e-01	0
MAPKAP1	1.5300e-01	0
ATP1B1	1.5300e-01	0
ELFN1	1.5300e-01	0
SMCHD1	1.5300e-01	0
FBXW2	1.5300e-01	0
GGA1	1.5300e-01	0
CAMSAP3	1.5400e-01	0
AHR	1.5400e-01	0
DMD	1.5400e-01	0
PPP1R10	1.5400e-01	0
HDLBP	1.5400e-01	0
ZNF609	1.5400e-01	0
ARHGAP42	1.5500e-01	0
OCRL	1.5500e-01	0
RICTOR	1.5500e-01	0
ZNF541	1.5500e-01	0
FASN	1.5500e-01	0
ATAD2B	1.5500e-01	0
PCIF1	1.5500e-01	0
DENND5B	1.5500e-01	0
HOOK3	1.5500e-01	0
ARHGEF2	1.5600e-01	0
XPR1	1.5600e-01	0
INTS10	1.5600e-01	0
USP3	1.5600e-01	0
MARK2	1.5600e-01	0
IKZF1	1.5600e-01	0
CDH11	1.5600e-01	0
KDM4A	1.5600e-01	0
RREB1	1.5600e-01	0
CHD4	1.5600e-01	0
HIPK2	1.5600e-01	0
NR2E1	1.5600e-01	0
KPNA4	1.5600e-01	0
CHD5	1.5700e-01	0
PLXND1	1.5700e-01	0
RXRA	1.5700e-01	0
LRRC7	1.5700e-01	0
ZFC3H1	1.5700e-01	0
UBE4B	1.5700e-01	0
DOCK3	1.5800e-01	0
DMXL2	1.5800e-01	0
PELP1	1.5800e-01	0
TXLNG	1.5800e-01	0
UNC13A	1.5800e-01	0
MAT2A	1.5800e-01	0
HECTD1	1.5800e-01	0
KCNQ2	1.5800e-01	0
TANC2	1.5800e-01	0
PPP3CA	1.5800e-01	0
LARP4B	1.5800e-01	0
EPC2	1.5900e-01	0
ROBO2	1.5900e-01	0
MAST1	1.5900e-01	0
POLR2A	1.5900e-01	0
GRIPAP1	1.5900e-01	0
PSMD11	1.5900e-01	0
TNRC6A	1.5900e-01	0
ESPL1	1.5900e-01	0
CUL5	1.5900e-01	0
FBRS	1.5900e-01	0
SAP130	1.5900e-01	0
ALG13	1.6000e-01	0
SMAD5	1.6000e-01	0
GNB2L1	1.6000e-01	0
SLIT2	1.6000e-01	0
PPM1A	1.6000e-01	0
PPP4R2	1.6000e-01	0
GSPT1	1.6000e-01	0
PIP4K2B	1.6000e-01	0
ZFX	1.6000e-01	0
KANSL3	1.6000e-01	0
RORC	1.6100e-01	0
ZNF800	1.6100e-01	0
DPF2	1.6100e-01	0
APC	1.6100e-01	0
FKBP8	1.6100e-01	0
OPHN1	1.6100e-01	0
USP48	1.6100e-01	0
KDM6A	1.6100e-01	0
CAPZA2	1.6100e-01	0
NPM1	1.6200e-01	0
PSMD12	1.6200e-01	0
ZNF131	1.6200e-01	0
GPC3	1.6200e-01	0
GRAMD4	1.6200e-01	0
KIF2A	1.6200e-01	0
FGD5	1.6200e-01	0
CKAP5	1.6200e-01	0
UPF1	1.6200e-01	0
UTP14A	1.6200e-01	0
CHD1	1.6200e-01	0
ZBTB2	1.6200e-01	0
CPSF6	1.6300e-01	0
FAM120A	1.6300e-01	0
WDR43	1.6300e-01	0
CUX1	1.6300e-01	0
ZNF865	1.6300e-01	0
MAPK8IP1	1.6300e-01	0
CDK19	1.6300e-01	0
NFKB2	1.6300e-01	0
KDM5A	1.6300e-01	0
TEX10	1.6300e-01	0
KIAA0947	1.6400e-01	0
MDM2	1.6400e-01	0
CASKIN1	1.6400e-01	0
MYC	1.6400e-01	0
CLK2	1.6400e-01	0
PAX5	1.6500e-01	0
ZNF608	1.6500e-01	0
DSCAML1	1.6500e-01	0
CCNJ	1.6500e-01	0
CCNK	1.6500e-01	0
TLK1	1.6500e-01	0
LARP1	1.6500e-01	0
ARIH1	1.6600e-01	0
LRRC4	1.6600e-01	0
RBFOX3	1.6600e-01	0
ZNF629	1.6600e-01	0
KDM5C	1.6600e-01	0
PHF6	1.6600e-01	0
DICER1	1.6600e-01	0
GRIN2D	1.6700e-01	0
RPL5	1.6700e-01	0
PHF23	1.6700e-01	0
SIPA1L1	1.6700e-01	0
MYH10	1.6700e-01	0
GABBR2	1.6700e-01	0
CECR2	1.6700e-01	0
F9	1.6700e-01	0
PAK7	1.6700e-01	0
USP11	1.6700e-01	0
PPP1R9B	1.6800e-01	0
SFSWAP	1.6800e-01	0
HNF1B	1.6800e-01	0
NOP2	1.6800e-01	0
TMEM63B	1.6800e-01	0
STAU1	1.6800e-01	0
ARPC2	1.6800e-01	0
CSK	1.6800e-01	0
SOX9	1.6800e-01	0
NCOR2	1.6900e-01	0
ANK1	1.6900e-01	0
ZNF236	1.6900e-01	0
ABCA2	1.6900e-01	0
PPP1R16B	1.6900e-01	0
RC3H2	1.6900e-01	0
PAX6	1.6900e-01	0
CENPI	1.6900e-01	0
ZNF638	1.6900e-01	0
NACC1	1.6900e-01	0
PDGFRA	1.6900e-01	0
CADM4	1.6900e-01	0
ACVR2A	1.7000e-01	0
TRIM9	1.7000e-01	0
DYRK2	1.7000e-01	0
TRPC5	1.7000e-01	0
C7orf60	1.7000e-01	0
MKL2	1.7000e-01	0
GPATCH8	1.7000e-01	0
ESCO1	1.7000e-01	0
GRID2	1.7000e-01	0
WEE1	1.7000e-01	0
MBTPS2	1.7000e-01	0
PRPF4B	1.7000e-01	0
ZNF654	1.7000e-01	0
CHD9	1.7000e-01	0
KIF1B	1.7100e-01	0
RNF2	1.7100e-01	0
DAGLA	1.7100e-01	0
MNT	1.7100e-01	0
PRKCD	1.7100e-01	0
KDM4B	1.7100e-01	0
CELF1	1.7100e-01	0
ANKRD28	1.7100e-01	0
MEN1	1.7100e-01	0
SYVN1	1.7100e-01	0
FZR1	1.7200e-01	0
ZFP91	1.7200e-01	0
ARMC8	1.7200e-01	0
CAMTA1	1.7200e-01	0
LIN54	1.7200e-01	0
TRIM71	1.7200e-01	0
NKAP	1.7200e-01	0
TFAP4	1.7200e-01	0
ACVR1B	1.7200e-01	0
PSMD4	1.7200e-01	0
FBLN5	1.7200e-01	0
EEF2	1.7200e-01	0
ISY1-RAB43	1.7200e-01	0
CFLAR	1.7300e-01	0
OTUD5	1.7300e-01	0
HIVEP1	1.7300e-01	0
GTF3C1	1.7300e-01	0
ENAH	1.7300e-01	0
FOXO1	1.7300e-01	0
TNRC6B	1.7300e-01	0
EEF1G	1.7300e-01	0
TENM4	1.7300e-01	0
KLF4	1.7400e-01	0
SEC24C	1.7400e-01	0
CTDSPL2	1.7400e-01	0
JADE2	1.7400e-01	0
PCGF1	1.7400e-01	0
TTC28	1.7400e-01	0
GATA6	1.7400e-01	0
SCN3A	1.7400e-01	0
PSME3	1.7400e-01	0
TET1	1.7400e-01	0
NUP153	1.7400e-01	0
CELF2	1.7400e-01	0
DDX6	1.7400e-01	0
BAG6	1.7400e-01	0
EPHA4	1.7500e-01	0
MKLN1	1.7500e-01	0
ZMYM4	1.7500e-01	0
PPP2R5D	1.7500e-01	0
ANAPC2	1.7500e-01	0
FOXP1	1.7500e-01	0
TDRD1	1.7500e-01	0
MAP4K4	1.7500e-01	0
MAPK1	1.7500e-01	0
NCDN	1.7500e-01	0
BSN	1.7500e-01	0
ADRM1	1.7500e-01	0
NCOR1	1.7500e-01	0
CNOT7	1.7600e-01	0
MTM1	1.7600e-01	0
BAZ1A	1.7600e-01	0
ABL1	1.7600e-01	0
JAKMIP2	1.7600e-01	0
ZNF516	1.7600e-01	0
PTBP1	1.7600e-01	0
CLASP1	1.7600e-01	0
HTT	1.7600e-01	0
RELN	1.7600e-01	0
BRPF1	1.7600e-01	0
R3HDM2	1.7600e-01	0
MYO9B	1.7700e-01	0
PHF2	1.7700e-01	0
PAPOLA	1.7700e-01	0
ZZZ3	1.7700e-01	0
EIF4ENIF1	1.7700e-01	0
PSME4	1.7700e-01	0
NCL	1.7700e-01	0
GLA	1.7700e-01	0
GPHN	1.7700e-01	0
BRPF3	1.7700e-01	0
MSL3	1.7800e-01	0
PRPF8	1.7800e-01	0
KDM2B	1.7800e-01	0
AKT3	1.7800e-01	0
HIC2	1.7800e-01	0
PNISR	1.7800e-01	0
DPP10	1.7800e-01	0
MGAT5	1.7800e-01	0
NKRF	1.7800e-01	0
ADRBK1	1.7800e-01	0
ZER1	1.7800e-01	0
EXOC5	1.7800e-01	0
SF3B3	1.7800e-01	0
SYMPK	1.7900e-01	0
SPPL3	1.7900e-01	0
PKD1	1.7900e-01	0
TEK	1.7900e-01	0
G3BP2	1.7900e-01	0
ZBTB18	1.7900e-01	0
PTPN2	1.7900e-01	0
ARHGEF12	1.7900e-01	0
LAS1L	1.7900e-01	0
PLK2	1.8000e-01	0
PITPNM2	1.8000e-01	0
IDS	1.8000e-01	0
DST	1.8000e-01	0
DNM2	1.8000e-01	0
PDS5B	1.8000e-01	0
PTPRT	1.8000e-01	0
RPL7	1.8100e-01	0
TOX3	1.8100e-01	0
CENPB	1.8100e-01	0
SERBP1	1.8100e-01	0
ZRANB2	1.8100e-01	0
HCN1	1.8100e-01	0
RELA	1.8100e-01	0
COPS3	1.8100e-01	0
TFDP2	1.8100e-01	0
WDR7	1.8100e-01	0
TNIK	1.8100e-01	0
ZDHHC17	1.8100e-01	0
NOL6	1.8200e-01	0
NOVA1	1.8200e-01	0
LMTK3	1.8200e-01	0
ATP5A1	1.8200e-01	0
SLC7A3	1.8200e-01	0
MLLT10	1.8200e-01	0
